"Date","Year","Month","RF"
"1955/04","1955","04","9.6"
"1955/05","1955","05","7.4"
"1955/06","1955","06","3.9"
"1955/07","1955","07","8.3"
"1955/08","1955","08","11"
"1955/09","1955","09","3"
"1955/10","1955","10","2.8"
"1955/11","1955","11","5.7"
"1955/12","1955","12","13.5"
"1956/01","1956","01","13.5"
"1956/02","1956","02","33.7"
"1956/03","1956","03","4.7"
"1956/04","1956","04","13.2"
"1956/05","1956","05","9.7"
"1956/06","1956","06","12.4"
"1956/07","1956","07","8.2"
"1956/08","1956","08","9.7"
"1956/09","1956","09","2.3"
"1956/10","1956","10","11.1"
"1956/11","1956","11","3.1"
"1956/12","1956","12","5"
"1957/01","1957","01","7.8"
"1957/02","1957","02","17.4"
"1957/03","1957","03","3.7"
"1957/04","1957","04","12.9"
"1957/05","1957","05","7.4"
"1957/06","1957","06","2.2"
"1957/07","1957","07","7.8"
"1957/08","1957","08","24.1"
"1957/09","1957","09","4.3"
"1957/10","1957","10","4.7"
"1957/11","1957","11","12.5"
"1957/12","1957","12","26.1"
"1958/01","1958","01","7.6"
"1958/02","1958","02","3.7"
"1958/03","1958","03","11"
"1958/04","1958","04","3.2"
"1958/05","1958","05","6"
"1958/06","1958","06","3.7"
"1958/07","1958","07","17"
"1958/08","1958","08","18.2"
"1958/09","1958","09","4.7"
"1958/10","1958","10","18"
"1958/11","1958","11","6.8"
"1958/12","1958","12","9.5"
"1959/01","1959","01","17.3"
"1959/02","1959","02","17.1"
"1959/03","1959","03","7.4"
"1959/04","1959","04","9.4"
"1959/05","1959","05","7.2"
"1959/06","1959","06","1.2"
"1959/07","1959","07","5.6"
"1959/08","1959","08","9.1"
"1959/09","1959","09","4.7"
"1959/10","1959","10","3.9"
"1959/11","1959","11","9.3"
"1959/12","1959","12","14.8"
"1960/01","1960","01","5.6"
"1960/02","1960","02","33.8"
"1960/03","1960","03","9.8"
"1960/04","1960","04","12.3"
"1960/05","1960","05","7.4"
"1960/06","1960","06","4.4"
"1960/07","1960","07","3.4"
"1960/08","1960","08","5.1"
"1960/09","1960","09","6.5"
"1960/10","1960","10","3.4"
"1960/11","1960","11","13.2"
"1960/12","1960","12","9"
"1961/01","1961","01","7.1"
"1961/02","1961","02","20.7"
"1961/03","1961","03","4"
"1961/04","1961","04","7.3"
"1961/05","1961","05","6.4"
"1961/06","1961","06","7.8"
"1961/07","1961","07","6.1"
"1961/08","1961","08","5.6"
"1961/09","1961","09","3.6"
"1961/10","1961","10","15.6"
"1961/11","1961","11","20.2"
"1961/12","1961","12","5.9"
"1962/01","1962","01","2.2"
"1962/02","1962","02","4.3"
"1962/03","1962","03","9.5"
"1962/04","1962","04","2.8"
"1962/05","1962","05","5.3"
"1962/06","1962","06","0.7"
"1962/07","1962","07","4.6"
"1962/08","1962","08","3.7"
"1962/09","1962","09","3.9"
"1962/10","1962","10","1.3"
"1962/11","1962","11","4.6"
"1962/12","1962","12","5.6"
