"Date","Year","Month","RF"
"1964/03","1964","03","5.8"
"1964/04","1964","04","2.5"
"1964/05","1964","05","4.3"
"1964/06","1964","06","2"
"1964/07","1964","07","3.7"
"1964/08","1964","08","2.4"
"1964/09","1964","09","3"
"1964/10","1964","10","7.4"
"1964/11","1964","11","5.4"
"1964/12","1964","12","6.7"
"1965/01","1965","01","5.5"
"1965/02","1965","02","6"
"1965/03","1965","03","7.3"
"1965/04","1965","04","5.8"
"1965/05","1965","05","3.7"
"1965/06","1965","06","1.7"
"1965/07","1965","07","3.3"
"1965/08","1965","08","1.8"
"1965/09","1965","09","1"
"1965/10","1965","10","4.1"
"1965/11","1965","11","6.5"
"1965/12","1965","12","6.6"
"1966/01","1966","01","4.9"
"1966/02","1966","02","5.5"
"1966/03","1966","03","3.3"
"1966/04","1966","04","4.8"
"1966/05","1966","05","1.9"
"1966/06","1966","06","2.9"
"1966/07","1966","07","4.2"
"1966/08","1966","08","5.3"
"1966/09","1966","09","3.2"
"1966/10","1966","10","3.2"
"1966/11","1966","11","2.7"
"1966/12","1966","12","7.2"
"1967/01","1967","01","7.6"
"1967/02","1967","02","3.8"
"1967/03","1967","03","7.9"
"1967/04","1967","04","5.2"
"1967/05","1967","05","3.6"
"1967/06","1967","06","3.3"
"1967/07","1967","07","5.2"
"1967/08","1967","08","3.6"
"1967/09","1967","09","0.9"
"1967/10","1967","10","1.8"
"1967/11","1967","11","10.7"
"1967/12","1967","12","5.4"
"1968/01","1968","01","3.6"
"1968/02","1968","02","4.4"
"1968/03","1968","03","13.6"
"1968/04","1968","04","12"
"1968/05","1968","05","5.8"
"1968/06","1968","06","1.9"
"1968/07","1968","07","2.3"
"1968/08","1968","08","1.6"
"1968/09","1968","09","2.3"
"1968/10","1968","10","1.8"
"1968/11","1968","11","1.9"
"1968/12","1968","12","10.7"
"1969/01","1969","01","7.4"
"1969/02","1969","02","9.6"
"1969/03","1969","03","7.9"
"1969/04","1969","04","11.1"
"1969/05","1969","05","1.9"
"1969/06","1969","06","3.6"
"1969/07","1969","07","3.3"
"1969/08","1969","08","6.7"
"1969/09","1969","09","2.3"
"1969/10","1969","10","1.2"
"1969/11","1969","11","2.1"
"1969/12","1969","12","4.9"
"1970/01","1970","01","7"
"1970/02","1970","02","3.1"
"1970/03","1970","03","3.1"
"1970/04","1970","04","9.8"
"1970/05","1970","05","4.7"
"1970/06","1970","06","2.6"
"1970/07","1970","07","5.8"
"1970/08","1970","08","7.6"
"1970/09","1970","09","1.7"
"1970/10","1970","10","2.4"
"1970/11","1970","11","6.1"
"1970/12","1970","12","9.7"
"1971/01","1971","01","9.2"
"1971/02","1971","02","1.3"
"1971/03","1971","03","5.3"
"1971/04","1971","04","5.1"
"1971/05","1971","05","1.4"
"1971/06","1971","06","1"
"1971/07","1971","07","1.8"
"1971/08","1971","08","1.3"
"1971/09","1971","09","0.7"
"1971/10","1971","10","1.6"
"1971/11","1971","11","2.3"
"1971/12","1971","12","2.3"
"1972/01","1972","01","2.6"
"1972/02","1972","02","5.3"
"1972/03","1972","03","4"
"1972/04","1972","04","4.4"
"1972/05","1972","05","0.9"
"1972/06","1972","06","1.5"
"1972/07","1972","07","3.2"
"1972/08","1972","08","4.6"
"1972/09","1972","09","2"
"1972/10","1972","10","1.9"
"1972/11","1972","11","4.2"
"1972/12","1972","12","4.3"
"1973/01","1973","01","4"
"1973/02","1973","02","5.6"
"1973/03","1973","03","8.4"
"1973/04","1973","04","3"
"1973/05","1973","05","2.3"
"1973/06","1973","06","0.8"
"1973/07","1973","07","1.6"
"1973/08","1973","08","0.8"
"1973/09","1973","09","1.3"
"1973/10","1973","10","2.8"
"1973/11","1973","11","8"
"1973/12","1973","12","3.1"
"1974/01","1974","01","8.4"
"1974/02","1974","02","1.3"
"1974/03","1974","03","5.2"
"1974/04","1974","04","5.7"
"1974/05","1974","05","1.9"
"1974/06","1974","06","1.7"
"1974/07","1974","07","2"
"1974/08","1974","08","1.9"
"1974/09","1974","09","2.2"
"1974/10","1974","10","3.4"
"1974/11","1974","11","4.8"
"1974/12","1974","12","2.4"
"1975/01","1975","01","6.4"
"1975/02","1975","02","6.6"
"1975/03","1975","03","4.9"
"1975/04","1975","04","2"
"1975/05","1975","05","0.9"
"1975/06","1975","06","0.5"
"1975/07","1975","07","2"
"1975/08","1975","08","2.4"
"1975/09","1975","09","1"
"1975/10","1975","10","2.8"
"1975/11","1975","11","2.9"
"1975/12","1975","12","0.8"
"1976/01","1976","01","6.5"
"1976/02","1976","02","5"
"1976/03","1976","03","9.7"
"1976/04","1976","04","4.4"
"1976/05","1976","05","1.7"
"1976/06","1976","06","1.8"
"1976/07","1976","07","2.5"
"1976/08","1976","08","2"
"1976/09","1976","09","1.5"
"1976/10","1976","10","3.3"
"1976/11","1976","11","6.8"
"1976/12","1976","12","2.2"
"1977/01","1977","01","1.6"
"1977/02","1977","02","1.8"
"1977/03","1977","03","5.5"
"1977/04","1977","04","10"
"1977/05","1977","05","2.1"
"1977/06","1977","06","1.3"
"1977/07","1977","07","3.3"
"1977/08","1977","08","4.9"
"1977/09","1977","09","0.9"
"1977/10","1977","10","2.7"
"1977/11","1977","11","1.1"
"1977/12","1977","12","3.9"
"1978/01","1978","01","6"
"1978/02","1978","02","1.3"
"1978/03","1978","03","6.6"
"1978/04","1978","04","2.5"
"1978/05","1978","05","2.7"
"1978/06","1978","06","4.6"
"1978/07","1978","07","4.9"
